"","precipitation","rain","mean_tmp 1","mean_tmp 2","mean_tmp 3","mean_tmp 4","mean_tmp 5","mean_tmp 6","mean_tmp 7","mean_RH 1","mean_RH 2","mean_RH 3","mean_RH 4","mean_RH 5","mean_RH 6","mean_RH 7","mean_press 1","mean_press 2","mean_press 3","mean_press 4","mean_press 5","mean_press 6","mean_press 7","mean_Wind_speed 1","mean_Wind_speed 2","mean_Wind_speed 3","mean_Wind_speed 4","mean_Wind_speed 5","mean_Wind_speed 6","mean_Wind_speed 7","Cold_Deg_days 1","Cold_Deg_days 2","Cold_Deg_days 3","Cold_Deg_days 4","Cold_Deg_days 5","Cold_Deg_days 6","Cold_Deg_days 7","spd_max_gust 1","spd_max_gust 2","spd_max_gust 3","spd_max_gust 4","spd_max_gust 5","spd_max_gust 6","spd_max_gust 7","precipitation 1","precipitation 2","precipitation 3","precipitation 4","precipitation 5","precipitation 6","precipitation 7","rain 1","rain 2","rain 3","rain 4","rain 5","rain 6","rain 7"
"8",0,0,-0.666339391964539,-0.490784703578435,-0.80601683249784,-1.05123607973945,-0.964503703929652,-0.76770132513985,-0.636383631588957,0.718870346598203,0.809157038973042,0.851519041540436,0.830124090680359,0.857081728677792,0.86991869915276,0.891313650012837,0.983609849030688,0.981963203489283,0.977473081677651,0.967926551562105,0.966601202453101,0.968400464595106,0.966838158487656,0.554838709644596,0.647004608342636,0.282949308850356,0.623041474774049,0.484792626837588,0.337327188964964,0.333640552946259,0,0,0,0,0,0,0,0.404255319148936,0.531914893617021,0.361702127659574,0.468085106382979,0.361702127659574,0.297872340425532,0.276595744680851,0,0,1,2,1.2,2.6,2.2,0,0,1,1,1,1,1
"9",0,0,-0.650316543393497,-0.666339391964539,-0.490784703578435,-0.80601683249784,-1.05123607973945,-0.964503703929652,-0.76770132513985,0.704749679075738,0.718870346598203,0.809157038973042,0.851519041540436,0.830124090680359,0.857081728677792,0.86991869915276,0.985220349651192,0.983609849030688,0.981963203489283,0.977473081677651,0.967926551562105,0.966601202453101,0.968400464595106,0.321658986272565,0.554838709644596,0.647004608342636,0.282949308850356,0.623041474774049,0.484792626837588,0.337327188964964,0,0,0,0,0,0,0,0.319148936170213,0.404255319148936,0.531914893617021,0.361702127659574,0.468085106382979,0.361702127659574,0.297872340425532,0,0,0,1,2,1.2,2.6,0,0,0,1,1,1,1
"10",0,0,-0.6841038544798,-0.650316543393497,-0.666339391964539,-0.490784703578435,-0.80601683249784,-1.05123607973945,-0.964503703929652,0.72400513478819,0.704749679075738,0.718870346598203,0.809157038973042,0.851519041540436,0.830124090680359,0.857081728677792,0.986854946564334,0.985220349651192,0.983609849030688,0.981963203489283,0.977473081677651,0.967926551562105,0.966601202453101,0.0838709677554928,0.321658986272565,0.554838709644596,0.647004608342636,0.282949308850356,0.623041474774049,0.484792626837588,0,0,0,0,0,0,0,0.0425531914893617,0.319148936170213,0.404255319148936,0.531914893617021,0.361702127659574,0.468085106382979,0.361702127659574,0,0,0,0,1,2,1.2,0,0,0,0,1,1,1
"11",0,0,-0.341354224773596,-0.6841038544798,-0.650316543393497,-0.666339391964539,-0.490784703578435,-0.80601683249784,-1.05123607973945,0.640992725750963,0.72400513478819,0.704749679075738,0.718870346598203,0.809157038973042,0.851519041540436,0.830124090680359,0.980657935106088,0.986854946564334,0.985220349651192,0.983609849030688,0.981963203489283,0.977473081677651,0.967926551562105,0.243317972368171,0.0838709677554928,0.321658986272565,0.554838709644596,0.647004608342636,0.282949308850356,0.623041474774049,0,0,0,0,0,0,0,0.276595744680851,0.0425531914893617,0.319148936170213,0.404255319148936,0.531914893617021,0.361702127659574,0.468085106382979,0,0,0,0,0,1,2,0,0,0,0,0,1,1
"12",0.6,1,-0.439232929976872,-0.341354224773596,-0.6841038544798,-0.650316543393497,-0.666339391964539,-0.490784703578435,-0.80601683249784,0.748823277740693,0.640992725750963,0.72400513478819,0.704749679075738,0.718870346598203,0.809157038973042,0.851519041540436,0.967918519464559,0.980657935106088,0.986854946564334,0.985220349651192,0.983609849030688,0.981963203489283,0.977473081677651,0.434101382520487,0.243317972368171,0.0838709677554928,0.321658986272565,0.554838709644596,0.647004608342636,0.282949308850356,0,0,0,0,0,0,0,0.319148936170213,0.276595744680851,0.0425531914893617,0.319148936170213,0.404255319148936,0.531914893617021,0.361702127659574,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"13",0,0,-0.863141770754342,-0.439232929976872,-0.341354224773596,-0.6841038544798,-0.650316543393497,-0.666339391964539,-0.490784703578435,0.833119383825417,0.748823277740693,0.640992725750963,0.72400513478819,0.704749679075738,0.718870346598203,0.809157038973042,0.964532854922467,0.967918519464559,0.980657935106088,0.986854946564334,0.985220349651192,0.983609849030688,0.981963203489283,0.422119815625594,0.434101382520487,0.243317972368171,0.0838709677554928,0.321658986272565,0.554838709644596,0.647004608342636,0,0,0,0,0,0,0,0.48936170212766,0.319148936170213,0.276595744680851,0.0425531914893617,0.319148936170213,0.404255319148936,0.531914893617021,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0
"14",0,0,-0.824477940574069,-0.863141770754342,-0.439232929976872,-0.341354224773596,-0.6841038544798,-0.650316543393497,-0.666339391964539,0.6940522036457,0.833119383825417,0.748823277740693,0.640992725750963,0.72400513478819,0.704749679075738,0.718870346598203,0.963978618022338,0.964532854922467,0.967918519464559,0.980657935106088,0.986854946564334,0.985220349651192,0.983609849030688,0.559447004723277,0.422119815625594,0.434101382520487,0.243317972368171,0.0838709677554928,0.321658986272565,0.554838709644596,0,0,0,0,0,0,0,0.468085106382979,0.48936170212766,0.319148936170213,0.276595744680851,0.0425531914893617,0.319148936170213,0.404255319148936,0,0.6,0,0,0,0,0,0,1,0,0,0,0,0
"15",0,0,-0.877423005381165,-0.824477940574069,-0.863141770754342,-0.439232929976872,-0.341354224773596,-0.6841038544798,-0.650316543393497,0.758664955070603,0.6940522036457,0.833119383825417,0.748823277740693,0.640992725750963,0.72400513478819,0.704749679075738,0.964858167885586,0.963978618022338,0.964532854922467,0.967918519464559,0.980657935106088,0.986854946564334,0.985220349651192,0.39999999995576,0.559447004723277,0.422119815625594,0.434101382520487,0.243317972368171,0.0838709677554928,0.321658986272565,0,0,0,0,0,0,0,0.425531914893617,0.468085106382979,0.48936170212766,0.319148936170213,0.276595744680851,0.0425531914893617,0.319148936170213,0,0,0.6,0,0,0,0,0,0,1,0,0,0,0
"16",0,0,-0.645091701477244,-0.877423005381165,-0.824477940574069,-0.863141770754342,-0.439232929976872,-0.341354224773596,-0.6841038544798,0.679075738125802,0.758664955070603,0.6940522036457,0.833119383825417,0.748823277740693,0.640992725750963,0.72400513478819,0.965962625155126,0.964858167885586,0.963978618022338,0.964532854922467,0.967918519464559,0.980657935106088,0.986854946564334,0.561290322622031,0.39999999995576,0.559447004723277,0.422119815625594,0.434101382520487,0.243317972368171,0.0838709677554928,0,0,0,0,0,0,0,0.51063829787234,0.425531914893617,0.468085106382979,0.48936170212766,0.319148936170213,0.276595744680851,0.0425531914893617,0,0,0,0.6,0,0,0,0,0,0,1,0,0,0
"17",0,0,-0.570550623444167,-0.645091701477244,-0.877423005381165,-0.824477940574069,-0.863141770754342,-0.439232929976872,-0.341354224773596,0.666666666700899,0.679075738125802,0.758664955070603,0.6940522036457,0.833119383825417,0.748823277740693,0.640992725750963,0.970127434003639,0.965962625155126,0.964858167885586,0.963978618022338,0.964532854922467,0.967918519464559,0.980657935106088,0.298617511542755,0.561290322622031,0.39999999995576,0.559447004723277,0.422119815625594,0.434101382520487,0.243317972368171,0,0,0,0,0,0,0,0.0425531914893617,0.51063829787234,0.425531914893617,0.468085106382979,0.48936170212766,0.319148936170213,0.276595744680851,0,0,0,0,0.6,0,0,0,0,0,0,1,0,0
