"","Date","year","month","day","max_tmp","min_tmp","mean_tmp","mean_RH","mean_DP","mean_press","mean_Wind_speed","Heat_Deg_days","Cold_Deg_days","spd_max_gust","precipitation","rain"
"1",2013-03-01,2013,3,1,1.2,-1.1,-0.108333333,86.79166667,-2.104166667,100.3058333,15.08333333,17.9,0,13,2.2,1
"2",2013-03-02,2013,3,2,0.2,-4.6,-1.679166667,84.70833333,-3.995833333,100.4679167,15.25,20.1,0,14,2.6,1
"3",2013-03-03,2013,3,3,-1.6,-5.2,-4.033333333,83.45833333,-6.491666667,100.28125,21.91666667,21.3,0,17,1.2,1
"4",2013-03-04,2013,3,4,-3.8,-7.2,-5.070833333,80.83333333,-7.9,100.41875,28.16666667,23.5,0,22,2,1
"5",2013-03-05,2013,3,5,1.2,-4.5,-2.1375,82.91666667,-4.704166667,101.4091667,12.79166667,19.5,0,17,1,1
"6",2013-03-06,2013,3,6,2.8,0.7,1.633333333,78.79166667,-1.691666667,101.875,29.25,16.5,0,25,0,0
"7",2013-03-07,2013,3,7,0.6,-0.8,-0.466666667,70,-5.2875,102.0458333,25.08333333,18.5,0,19,0,0
"8",2013-03-08,2013,3,8,3.2,-3.5,-0.275,68.625,-5.466666667,102.2129167,14.54166667,18.3,0,15,0,0
"9",2013-03-09,2013,3,9,4.9,-6.4,-0.679166667,70.5,-5.695833333,102.3825,3.791666667,19,0,2,0,0
"10",2013-03-10,2013,3,10,8.3,-2.7,3.420833333,62.41666667,-3.541666667,101.7395833,11,15,0,13,0,0
"11",2013-03-13,2013,3,13,4.1,0.4,2.25,72.91666667,-2.3125,100.4179167,19.625,15.9,0,15,0,0
"12",2013-03-20,2013,3,20,0.1,-5.9,-2.820833333,81.125,-5.7,100.0666667,19.08333333,20.7,0,23,0.6,1
"13",2013-03-21,2013,3,21,0.5,-5.6,-2.358333333,67.58333333,-7.670833333,100.0091667,25.29166667,20.3,0,22,0,0
"14",2013-03-22,2013,3,22,-0.9,-6.1,-2.991666667,73.875,-7.145833333,100.1004167,18.08333333,21.7,0,20,0,0
"15",2013-03-23,2013,3,23,3.2,-4.4,-0.2125,66.125,-6.0125,100.215,25.375,18.5,0,24,0,0
"16",2013-03-24,2013,3,24,3.2,-3,0.679166667,64.91666667,-5.279166667,100.6470833,13.5,18.1,0,2,0,0
"17",2013-03-25,2013,3,25,5.6,-3.2,1.704166667,70.45833333,-3.35,100.30125,19.33333333,17.3,0,22,0,0
"18",2013-03-26,2013,3,26,5.9,-1.5,2.8,59.875,-4.383333333,100.3783333,14.04166667,15.3,0,14,0,0
"19",2013-03-27,2013,3,27,7.4,-0.9,3.870833333,64.375,-2.4375,100.6845833,7.958333333,15,0,2,0.6,1
"20",2013-03-28,2013,3,28,8.5,1.4,4.929166667,78.375,1.295833333,101.1575,11.29166667,13,0,2,0,0
"21",2013-03-29,2013,3,29,7.7,2.5,5.0625,69.5,-0.204166667,101.3404167,16.29166667,13.9,0,15,0,0
"22",2013-03-30,2013,3,30,8.4,-2.5,3.35,54.41666667,-5.929166667,101.4654167,9.875,14.9,0,14,0,0
"23",2013-03-31,2013,3,31,11.4,0.4,6.230434783,56.7826087,-2.234782609,100.6634783,16.60869565,11.9,0,26,5.2,1
"24",2013-04-01,2013,4,1,6,-4.2,2.954166667,71,-2.225,99.80333333,30.66666667,17.3,0,37,1.2,1
"25",2013-04-02,2013,4,2,-1.1,-6.7,-3.658333333,47.29166667,-13.51666667,100.5133333,31.70833333,21.9,0,31,0,0
"26",2013-04-03,2013,4,3,1.7,-4.7,-1.475,45.16666667,-11.97083333,101.1441667,32.04166667,19.3,0,33,0,0
"27",2013-04-04,2013,4,4,8.6,-4.1,2.745833333,43.95833333,-8.6625,101.3895833,23.625,15.5,0,26,0,0
"28",2013-04-06,2013,4,6,1.8,-6.2,-1.85,39.70833333,-14.1375,101.9954167,16.75,20.1,0,16,0,0
"29",2013-04-07,2013,4,7,12.5,0.4,6.341666667,52.91666667,-2.845833333,100.73125,25.91666667,11.1,0,26,0.8,1
"30",2013-04-08,2013,4,8,8.6,3.3,5.8,61.79166667,-1.1125,101.3533333,16,12.3,0,18,2.6,1
"31",2013-04-09,2013,4,9,8,1.8,5.129166667,86.375,2.995833333,100.975,19.125,12.8,0,19,13,1
"32",2013-04-10,2013,4,10,9.4,4,6.791666667,68.45833333,1.025,101.0845833,10.70833333,12.6,0,16,0,0
"33",2013-04-11,2013,4,11,3.5,-1.1,0.9875,43.08333333,-10.32916667,101.705,17.04166667,16.9,0,16,0,0
"34",2013-04-14,2013,4,14,8.3,2.1,4.791666667,72.83333333,0.095833333,101.2225,17.66666667,13,0,17,0,0
"35",2013-04-15,2013,4,15,13,-0.6,7.020833333,61,-0.6125,101.98125,12.45833333,12,0,16,0,0
"36",2013-04-16,2013,4,16,13.6,7.7,10.43333333,72.79166667,5.591666667,101.1033333,23.20833333,8.2,0,25,9,1
"37",2013-04-17,2013,4,17,12.5,3.3,8.029166667,46.75,-3.320833333,102.1041667,13.70833333,9.6,0,13,0,0
"38",2013-04-18,2013,4,18,16.2,3.8,9.2625,51.375,-0.483333333,101.4454167,24.16666667,7.9,0,26,0.6,1
"39",2013-04-19,2013,4,19,21.1,6.8,14.67916667,71.91666667,9.583333333,99.75833333,34.20833333,4,0,41,3.8,1
"40",2013-04-20,2013,4,20,7.7,0.5,4.866666667,65.33333333,-1.233333333,100.6541667,35.5,13.6,0,36,0.8,1
"41",2013-04-21,2013,4,21,6.1,-2.3,1.983333333,42.66666667,-9.6625,103.1325,13.58333333,16,0,15,0,0
"42",2013-04-22,2013,4,22,13.7,-0.3,7.320833333,37.75,-7.0875,103.2054167,15.75,11.2,0,18,0,0
"43",2013-04-23,2013,4,23,14.2,3.3,8.7375,46.79166667,-2.483333333,102.1966667,22.91666667,9.2,0,23,0,0
"44",2013-04-25,2013,4,25,10.8,3.3,7,55.20833333,-1.995833333,101.4591667,26.16666667,10.9,0,36,0,0
"45",2013-04-26,2013,4,26,11,3,6.8375,62.29166667,0.070833333,102.5366667,8.5,11.3,0,2,0.6,1
"46",2013-04-27,2013,4,27,14.9,2.9,9.45,55.66666667,-0.075,102.4641667,9.208333333,9,0,2,0,0
"47",2013-04-28,2013,4,28,20.9,4.3,13.97083333,44.16666667,0.833333333,101.8725,7.333333333,5.5,0,2,0,0
"48",2013-04-29,2013,4,29,20.5,9.6,15.45,49.375,4.75,101.5383333,13.95833333,3.1,0,22,0,0
"49",2013-04-30,2013,4,30,21.7,11.6,16.24583333,59.625,8.158333333,101.8841667,9,1.1,0,2,0,0
"50",2013-05-01,2013,5,1,25.9,9.8,19.125,50.70833333,7.475,102.3529167,5.708333333,0.1,0,2,0,0
"51",2013-05-02,2013,5,2,24.4,12.2,18.30416667,52.41666667,7.991666667,102.4320833,16.45833333,0.2,0,19,0,0
"52",2013-05-03,2013,5,3,22.2,8.6,16.17083333,45.45833333,3.2,102.475,17.45833333,2.7,0,16,0,0
